Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
26 November 1968; 15 October (Year not specified); August 1968,Sir Charles C. F. Spry; Richard Helms,,,Discussion on the declassification of Warren Commission document CD-971.; Inquiry made in August 1968 anticipating further pressure for the release of Warren Commission papers.,Australian Security Intelligence Organisation; Melbourne,,Letter addressed from Richard Helms to Sir Charles C. F. Spry.,Document marked 'SECRET'; ```; For file:,1
"March 15, 1978; February 15, 1978; July 18, 1963",Sergyi Czornonoh; Mr. James Callaghan (Prime Minister); Mr. Smith (Police Officer); Lee Harvey Oswald,,,"Letter sent on February 15, 1978, to Mr. James Callaghan.; Incident on July 18, 1963, in London, involving immigration officer and interrogation.","British Embassy, Washington, D.C.; Vienna, Austria; Washington Post; Airport Immigration, London, England; Embassy of U.S.S.R.",,Letter from Sergyi Czornonoh to British Ambassador.; Conversation between writer and Mr. Smith (Police Officer).,None noted.; For file:,2
,,,,,C/EUR/NOR; EUDORECORD; EUR/LGL; MDSX; ODP; RYBAT; For file:,,,,3
081248Z FEB 96,,,,,,,,"Document includes numeric codes and potential classification sections (e.g., ""IN 3123136"").; Note; No further extractable details related to individuals, events, organizations, or communications are visible in the provided; image.; For file:",4
NOV 91,,,,,,,,SPET 21162; ```; For file:,5
15 February 1969,Personalities (no specific names provided),,,"Stations or branches handle files on personalities not of general concern.; If personalities gain general CS interest, they must be brought into the 201 system.",Clandestine Services,,Not specified,"Secret; CSHB 70-1-1, CHAPTER III, ANNEX B; For file:",6
,"Frank FIORINI (201-242256), described as a freelance pilot and adventurer.; For file:",,,,,,,,7
,,,,,,,,"The document is marked as ""S-E-C-R-E-T.""; For file:",8
,,,,,,,,,9
APR 73; 28 April,"Moreira; Russo; Maria Paula Souza Freitas; SistemSCI27; Jose ""Chepe"" Duarte; President Arana; Jose ""Chepe"" Duarte Senior",,,"Moreira helped Russo move contraband.; Moreira possesses false documentation and a Brazilian diplomatic passport.; Russo considered carrying an undisclosed package to Miami for $5,000.; Moreira claims previous cooperation with Interpol.; Russo contacts to travel to the Honduran border for contraband.",British Honduras; Spain; Brazil; Miami; Interpol; Aguascalientes checkpoint; Chiquimula; Honduras,,Moreira and Russo collaborated on contraband.; Russo approached by SistemSCI27 regarding protection in Miami.; Inquiry to Russo contacts by SistemSCI27.,Sections of text are redacted (indicated by black bars).; For file:,10
April 1973; 30 April (specific action verification date),Duarte JM; Arana (President); Russo; Eslologic-27; John Martin; Arturo Arana (President's brother); Moreira,,,Duarte JM was appointed as immigration officer in Aguascalientes on presidential orders.; Alleged connection between Duarte and Russo investigated.; Eslologic-27 sent an emetric team to Aguascalientes to verify contact on 20 April.; Eslologic-27 revealed Martin as a close friend of Arturo Arana.; Martin staying at Hotel Maya Excelsior in Guatemala City.,"Aguascalientes; Hotel Maya Excelsior, Guatemala City; Miami; Guatemalan Telecommunications",,Eslologic-27 advised President Arana about the suspected connection between Duarte and Russo.; Eslologic-27 reported on Martin's contacts and activities.,,11
,,,,,"203 W. 107th Street, Apt., New York City, New York; For file:",,,,12
"Born 21 June 1913; Agency Staff Employee from June 1956 to December 1971; Served in Miami, Florida, from 1961; Retirement in 1970",Robert Moore; Robert Butler Moore,,,,"Agency; Hattiesburg, Mississippi; Miami, Florida",,,"Classified as ""SECRET""",13
,"Beckman, Gunnar",,,,,,,,14
,James J. Angleton,,,,"4814 N. 33rd Rd, Arlington, VA 22207; For file:",,,,15
Mar 58 - Oct 1960,"Brickham, Nelson",,,,"8409 Fenway Rd., Bethesda, MD 20034",,,,16
